path_czi,channel_signal,channel_target,structureProteinName,colony_position
data/z_stack_confocal_HR/23.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/1.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/50.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/5.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/55.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/11.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/34.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/46.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/13.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/32.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/10.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/68.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/6.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/63.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/31.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/59.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/36.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/58.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/48.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/17.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/35.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/43.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/29.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/8.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/54.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/41.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/45.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/47.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/20.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/57.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/40.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/26.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/39.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/14.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/51.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/4.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/18.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/9.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/56.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/7.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/37.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/65.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/70.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/69.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/16.czi,2,0,mitochondria_Confocal,
data/z_stack_confocal_HR/28.czi,2,0,mitochondria_Confocal,
